category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
CAT,,,,4320.000000,0.821296,1.303995,0.019840,1.587728,1.700403,1.794358,2.898562,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,3.000000,4.000000,4.000000,5.000000
CAT_IVT,,,,4320.000000,3.346991,4.680801,0.071216,1.398510,21.909901,1.423059,0.996427,1.000000,1.000000,2.000000,3.000000,4.000000,5.000000,7.000000,9.000000,11.000000,14.000000,15.000000,17.000000
IVT,,,,4320.000000,2.525694,3.712059,0.056477,1.469718,13.779381,1.473087,1.180866,0.000000,1.000000,1.000000,2.000000,3.000000,4.000000,6.000000,7.000000,9.000000,11.000000,12.000000,14.000000
