category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,,,,2160.000000,0.898611,1.723445,0.037083,1.917898,2.970262,1.901292,2.765473,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000
CAT,,,,2160.000000,1.642593,2.243624,0.048275,1.365904,5.033850,1.475767,1.566221,1.000000,1.000000,1.000000,2.000000,2.000000,3.000000,3.000000,4.000000,5.000000,6.000000,7.000000,9.000000
IVT,,,,2160.000000,5.051389,6.896149,0.148382,1.365199,47.556876,1.209877,0.219877,1.000000,1.000000,3.000000,5.000000,7.000000,10.000000,12.000000,14.000000,17.000000,19.000000,21.000000,24.000000
MYE,,,,2160.000000,0.981944,1.746603,0.037581,1.778719,3.050623,2.015643,3.710317,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000
OTH,,,,2160.000000,0.589815,1.296408,0.027894,2.197992,1.680674,2.732530,8.209871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,2.000000,3.000000,5.000000,6.000000
Total,,,,2160.000000,9.164352,11.991248,0.258011,1.308467,143.790021,1.104257,-0.153161,2.000000,3.000000,5.000000,8.000000,14.000000,18.000000,22.000000,26.000000,29.000000,33.000000,37.000000,39.000000
