Severity,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
1,2160.000000,3.586111,0.000000,22.000000,4.912197,0.105694,24.129682,1.369784,1.283727,0.536191,0.000000,1.000000,7.000000,14.000000,18.000000
2,2160.000000,5.578241,0.000000,32.000000,7.454502,0.160395,55.569605,1.336354,1.192107,0.201926,0.000000,1.000000,11.000000,21.000000,26.000000
