category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
CAT,,,,4320.000000,0.821296,1.284676,0.019546,1.564205,1.650391,1.795052,3.110438,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,2.000000,3.000000,4.000000,4.000000,5.000000
CAT_IVT,,,,4320.000000,3.346991,4.566223,0.069473,1.364277,20.850396,1.363175,0.882812,1.000000,1.000000,2.000000,3.000000,4.000000,6.000000,7.000000,9.000000,11.000000,13.000000,15.000000,16.810000
IVT,,,,4320.000000,2.525694,3.630705,0.055239,1.437508,13.182021,1.422005,1.118526,0.000000,1.000000,1.000000,2.000000,3.000000,4.000000,6.000000,7.000000,8.000000,10.000000,12.000000,13.000000
