Severity,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
1,2160.000000,3.586111,0.000000,26.000000,4.922370,0.105913,24.229728,1.372621,1.372567,0.964951,0.000000,1.000000,6.000000,14.000000,18.000000
2,2160.000000,5.578241,0.000000,36.000000,7.511325,0.161618,56.419999,1.346540,1.299093,0.603422,0.000000,1.000000,10.000000,22.000000,27.000000
