category,datetime,arrivals,departures,occupancy
ART,1996-01-05 06:00:00,4.000000,0.000000,4.816667
ART,1996-01-05 07:00:00,6.000000,5.000000,8.133333
ART,1996-01-05 08:00:00,4.000000,7.000000,6.000000
ART,1996-01-05 09:00:00,4.000000,2.000000,5.616667
ART,1996-01-05 10:00:00,6.000000,7.000000,6.300000
ART,1996-01-05 11:00:00,2.000000,1.000000,6.533333
ART,1996-01-05 12:00:00,5.000000,6.000000,5.800000
ART,1996-01-05 13:00:00,5.000000,2.000000,7.200000
ART,1996-01-05 14:00:00,1.000000,6.000000,5.933333
ART,1996-01-05 15:00:00,1.000000,4.000000,3.233333
ART,1996-01-05 16:00:00,1.000000,0.000000,1.800000
ART,1996-01-05 17:00:00,0.000000,2.000000,0.333333
ART,1996-01-05 18:00:00,0.000000,0.000000,0.000000
ART,1996-01-05 19:00:00,0.000000,0.000000,0.000000
ART,1996-01-05 20:00:00,0.000000,0.000000,0.000000
ART,1996-01-05 21:00:00,0.000000,0.000000,0.000000
ART,1996-01-05 22:00:00,0.000000,0.000000,0.000000
ART,1996-01-05 23:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 00:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 01:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 02:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 03:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 04:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 05:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 06:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 07:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 08:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 09:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 10:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 11:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 12:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 13:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 14:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 15:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 16:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 17:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 18:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 19:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 20:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 21:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 22:00:00,0.000000,0.000000,0.000000
ART,1996-01-06 23:00:00,0.000000,0.000000,0.000000
ART,1996-01-07 00:00:00,0.000000,0.000000,0.000000
ART,1996-01-07 01:00:00,0.000000,0.000000,0.000000
ART,1996-01-07 02:00:00,0.000000,0.000000,0.000000
ART,1996-01-07 03:00:00,0.000000,0.000000,0.000000
ART,1996-01-07 04:00:00,0.000000,0.000000,0.000000
