category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,,,,1080.000000,1.797222,3.234801,0.098432,1.799890,10.463940,1.682352,1.620276,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,5.000000,6.000000,7.000000,9.000000,10.025000,11.210000
CAT,,,,1080.000000,3.285185,4.189904,0.127495,1.275394,17.555295,1.285311,0.659582,1.000000,2.000000,2.000000,3.000000,4.000000,5.000000,7.000000,9.000000,10.000000,12.000000,14.000000,15.000000
IVT,,,,1080.000000,10.102778,13.862411,0.421820,1.372139,192.166443,1.252870,0.229836,2.000000,3.000000,5.000000,9.000000,12.000000,18.000000,24.000000,29.000000,34.000000,39.000000,44.000000,47.210000
MYE,,,,1080.000000,1.963889,3.082070,0.093784,1.569371,9.499158,1.583670,1.367972,0.000000,1.000000,1.000000,1.000000,2.000000,3.000000,4.000000,6.000000,8.000000,9.000000,10.000000,11.000000
OTH,,,,1080.000000,1.179630,2.231951,0.067916,1.892078,4.981605,1.977404,3.037605,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,3.000000,5.000000,7.000000,8.000000,9.000000
SSU,,,,1080.000000,18.328704,23.482494,0.714550,1.281187,551.427535,1.118720,-0.115866,4.000000,6.000000,10.000000,16.000000,28.000000,36.000000,41.000000,48.150000,59.000000,68.000000,73.000000,78.000000
