category,day_of_week,bin_of_day,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,0,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,2,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,3,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,4,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,5,,,,13.000000,0.285897,0.473992,0.131462,1.657911,0.224669,2.192321,5.290431,0.000000,0.090000,0.156667,0.176667,0.310000,0.500000,0.550000,0.600000,0.650000,1.053333,1.343333,1.517333
ART,0,6,,,,13.000000,3.834615,1.510449,0.418923,0.393898,2.281457,-1.050523,3.031437,3.850000,4.020000,4.136667,4.146667,4.236667,4.366667,4.606667,5.006667,5.726667,5.993333,6.013333,6.025333
ART,0,7,,,,13.000000,7.098718,2.568789,0.712454,0.361867,6.598679,-1.789473,4.652192,7.600000,7.870000,8.050000,8.050000,8.083333,8.133333,8.793333,9.326667,9.606667,9.873333,10.003333,10.081333
ART,0,8,,,,13.000000,5.206410,2.563360,0.710948,0.492347,6.570812,-0.477667,-0.215352,5.300000,5.550000,6.010000,6.890000,7.256667,7.366667,7.486667,7.566667,7.566667,8.160000,8.605000,8.872000
ART,0,9,,,,13.000000,4.891026,2.065161,0.572773,0.422235,4.264890,-1.072254,1.301171,5.300000,5.320000,5.340000,5.360000,5.953333,6.833333,6.863333,6.890000,6.910000,7.083333,7.208333,7.283333
ART,0,10,,,,13.000000,4.408974,1.800625,0.499404,0.408400,3.242251,-1.126676,1.921765,4.500000,4.960000,5.283333,5.333333,5.363333,5.383333,5.533333,5.783333,6.233333,6.576667,6.721667,6.808667
ART,0,11,,,,13.000000,4.558974,1.756570,0.487185,0.385299,3.085538,-1.439967,3.269452,5.066667,5.126667,5.170000,5.180000,5.263333,5.383333,5.653333,5.840000,5.860000,6.380000,6.765000,6.996000
ART,0,12,,,,13.000000,3.924359,1.965956,0.545258,0.500962,3.864982,-0.100264,0.165286,3.566667,3.846667,4.150000,4.500000,4.890000,5.300000,5.490000,5.793333,6.323333,6.826667,7.071667,7.218667
ART,0,13,,,,13.000000,3.502564,1.886058,0.523098,0.538479,3.557215,-0.528239,0.587356,3.950000,4.030000,4.090000,4.110000,4.223333,4.383333,4.473333,4.643333,4.973333,5.816667,6.366667,6.696667
ART,0,14,,,,13.000000,2.011538,1.316673,0.365180,0.654560,1.733629,0.412474,0.571177,1.783333,1.913333,2.073333,2.293333,2.486667,2.666667,2.666667,2.900000,3.600000,4.186667,4.451667,4.610667
ART,0,15,,,,13.000000,0.693590,0.843042,0.233818,1.215476,0.710719,1.321610,1.201028,0.333333,0.383333,0.530000,0.870000,1.023333,1.083333,1.273333,1.470000,1.680000,2.130000,2.415000,2.586000
ART,0,16,,,,13.000000,0.294872,0.457215,0.126809,1.550555,0.209046,1.200615,-0.347510,0.000000,0.000000,0.033333,0.133333,0.300000,0.500000,0.800000,1.000000,1.000000,1.066667,1.116667,1.146667
ART,0,17,,,,13.000000,0.083333,0.192450,0.053376,2.309401,0.037037,2.734623,7.841974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.183333,0.233333,0.416667,0.541667,0.616667
ART,0,18,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,19,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,20,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,21,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
