category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,,,,2160.000000,1.331057,2.386611,0.051352,1.793019,5.695914,1.699205,1.858073,0.000000,0.000000,0.000000,0.000000,0.416667,1.916667,3.333333,4.435833,5.366667,6.667500,7.602500,8.827333
CAT,,,,2160.000000,1.756728,2.372268,0.051043,1.350390,5.627655,1.389424,0.924470,0.583333,0.816667,1.050000,1.483333,2.066667,2.883333,3.883333,4.800000,5.633333,6.885000,7.867083,8.716667
IVT,,,,2160.000000,5.860131,8.058019,0.173381,1.375058,64.931678,1.241517,0.235215,0.916667,1.848333,3.233333,4.989167,7.405000,10.025000,13.956667,17.021667,19.520000,22.901667,25.204167,27.761500
MYE,,,,2160.000000,1.396312,2.256652,0.048555,1.616152,5.092476,1.603450,1.517389,0.000000,0.040833,0.416667,0.750000,1.066667,2.020833,3.386667,4.302500,5.250000,6.350000,7.317083,8.407667
OTH,,,,2160.000000,0.878056,1.677568,0.036096,1.910549,2.814235,2.118455,4.039591,0.000000,0.000000,0.000000,0.000000,0.255000,1.083333,1.836667,2.550000,3.350000,4.769167,5.902083,7.013667
Total,,,,2160.000000,11.222284,14.541845,0.312891,1.295801,211.465263,1.070094,-0.259929,2.000000,3.474167,5.833333,11.361667,17.133333,22.250000,26.900000,30.843333,35.115000,41.035000,44.467500,47.464500
