Severity,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
1,2160.000000,4.425077,0.000000,26.300000,5.889909,0.126731,34.691030,1.331030,1.197180,0.248028,0.000000,0.916667,8.387500,16.350833,20.633333
2,2160.000000,6.795355,0.000000,36.600000,8.939816,0.192354,79.920318,1.315578,1.130693,-0.042726,0.000000,1.333333,13.062500,25.085000,30.182833
