category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,,,,1080.000000,1.797222,3.169098,0.096433,1.763331,10.043180,1.682748,1.793478,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,4.000000,6.000000,7.000000,9.000000,10.000000,12.000000
CAT,,,,1080.000000,3.285185,4.101376,0.124801,1.248446,16.821282,1.283215,0.594746,1.000000,2.000000,2.000000,3.000000,4.000000,5.000000,7.000000,9.000000,10.000000,12.000000,14.000000,15.000000
IVT,,,,1080.000000,10.102778,13.426890,0.408567,1.329029,180.281364,1.147830,-0.059381,2.000000,4.000000,6.000000,8.000000,14.000000,20.000000,24.000000,28.150000,33.000000,38.000000,41.000000,44.210000
MYE,,,,1080.000000,1.963889,3.021638,0.091946,1.538599,9.130298,1.464496,1.019149,0.000000,0.000000,1.000000,1.000000,2.000000,3.000000,5.000000,6.000000,7.000000,9.000000,9.025000,10.210000
OTH,,,,1080.000000,1.179630,2.259190,0.068745,1.915169,5.103941,2.126154,3.987518,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,3.000000,5.000000,7.000000,8.000000,9.000000
SSU,,,,1080.000000,18.328704,23.395941,0.711916,1.276465,547.370074,1.081072,-0.278330,4.000000,7.000000,12.000000,16.000000,24.000000,36.000000,44.000000,52.000000,58.100000,66.000000,71.000000,75.000000
