category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
CAT,,,,4320.000000,1.756728,2.425433,0.036902,1.380653,5.882725,1.441266,1.190308,0.633333,0.966667,1.000000,1.500000,2.000000,2.933333,3.773333,4.800000,5.670000,7.066667,7.967500,8.993667
CAT_IVT,,,,4320.000000,7.621489,10.223723,0.155549,1.341434,104.524521,1.247496,0.238271,1.833333,2.533333,4.466667,6.500000,8.743333,12.841667,18.133333,22.066667,25.333333,29.168333,32.000000,34.727000
IVT,,,,4320.000000,5.864761,8.114704,0.123461,1.383638,65.848413,1.250523,0.279764,1.000000,1.666667,3.000000,5.166667,7.433333,10.033333,13.980000,17.233333,19.533333,22.933333,25.533333,27.847667
