category,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,,,,1080.000000,1.331057,2.285821,0.069555,1.717298,5.224979,1.499732,0.908809,0.000000,0.000000,0.000000,0.002917,0.583333,2.041667,3.666667,4.576250,5.409167,6.300000,7.100208,7.785500
CAT,,,,1080.000000,1.756728,2.277300,0.069296,1.296330,5.186097,1.332553,0.722787,0.625000,0.833333,1.136667,1.536250,2.130000,2.910417,3.883333,4.675000,5.508333,6.609583,7.501458,8.557417
IVT,,,,1080.000000,5.858279,7.940532,0.241623,1.355438,63.052052,1.219737,0.171886,0.995833,1.816667,3.333333,5.295000,7.213333,10.727083,13.636667,16.633750,19.180833,22.458333,25.160833,26.760500
MYE,,,,1080.000000,1.396312,2.160297,0.065736,1.547145,4.666882,1.415433,0.625012,0.125000,0.291667,0.436667,0.669583,1.091667,2.245833,3.461667,4.421667,5.209167,6.095833,6.792500,7.240250
OTH,,,,1080.000000,0.878056,1.565224,0.047628,1.782602,2.449925,1.724898,1.805660,0.000000,0.000000,0.000000,0.025000,0.500000,1.187500,2.020000,2.691667,3.545000,4.692500,5.150625,5.726750
SSU,,,,1080.000000,11.220432,14.287928,0.434768,1.273385,204.144884,1.036102,-0.319321,2.050000,3.452917,6.395000,11.580417,18.932500,22.597917,25.900000,29.526667,35.185833,40.107500,43.987500,46.365583
